product_id,week_start_date,stock_on_hand,status
P001,2025-01-05,341,In Stock
P001,2025-01-12,308,In Stock
P001,2025-01-19,276,In Stock
P001,2025-01-26,262,In Stock
P001,2025-02-02,224,In Stock
P001,2025-02-09,199,In Stock
P001,2025-02-16,174,In Stock
P001,2025-02-23,139,In Stock
P001,2025-03-02,0,Out of Stock
P001,2025-03-09,0,Out of Stock
P001,2025-03-16,0,Out of Stock
P001,2025-03-23,0,Out of Stock
P001,2025-03-30,0,Out of Stock
P001,2025-04-06,104,In Stock
P001,2025-04-13,79,In Stock
P001,2025-04-20,45,In Stock
P001,2025-04-27,31,In Stock
P001,2025-05-04,129,In Stock
P001,2025-05-11,91,In Stock
P001,2025-05-18,62,In Stock
P001,2025-05-25,39,In Stock
P001,2025-06-01,110,In Stock
P001,2025-06-08,86,In Stock
P001,2025-06-15,45,In Stock
P001,2025-06-22,31,In Stock
P001,2025-06-29,131,In Stock
P001,2025-07-06,92,In Stock
P001,2025-07-13,65,In Stock
P001,2025-07-20,35,In Stock
P001,2025-07-27,139,In Stock
P001,2025-08-03,109,In Stock
P001,2025-08-10,71,In Stock
P001,2025-08-17,53,In Stock
P001,2025-08-24,42,In Stock
P001,2025-08-31,123,In Stock
P001,2025-09-07,107,In Stock
P001,2025-09-14,91,In Stock
P001,2025-09-21,68,In Stock
P001,2025-09-28,54,In Stock
P001,2025-10-05,37,In Stock
P001,2025-10-12,120,In Stock
P001,2025-10-19,89,In Stock
P001,2025-10-26,62,In Stock
P001,2025-11-02,47,In Stock
P001,2025-11-09,139,In Stock
P001,2025-11-16,112,In Stock
P001,2025-11-23,86,In Stock
P001,2025-11-30,68,In Stock
P001,2025-12-07,29,In Stock
P001,2025-12-14,99,In Stock
P001,2025-12-21,45,In Stock
P001,2025-12-28,126,In Stock
P002,2025-01-05,242,In Stock
P002,2025-01-12,221,In Stock
P002,2025-01-19,185,In Stock
P002,2025-01-26,168,In Stock
P002,2025-02-02,144,In Stock
P002,2025-02-09,114,In Stock
P002,2025-02-16,324,In Stock
P002,2025-02-23,292,In Stock
P002,2025-03-02,264,In Stock
P002,2025-03-09,240,In Stock
P002,2025-03-16,223,In Stock
P002,2025-03-23,206,In Stock
