transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,discount_applied,total_amount,payment_method
T00001,2025-01-01 11:52:03,C0706,P076,1,38.94,0.0,38.94,Credit Card
T00002,2025-01-01 18:38:46,C4910,P079,2,295.86,0.15,502.96,Debit Card
T00003,2025-01-01 13:28:41,C3731,P034,2,226.84,0.0,453.68,Cash
T00004,2025-01-01 12:12:14,C3386,P007,1,233.2,0.0,233.2,Credit Card
T00005,2025-01-01 10:24:50,C4185,P034,2,226.84,0.0,453.68,Credit Card
T00006,2025-01-01 10:50:11,C3211,P076,2,38.94,0.0,77.88,Debit Card
T00007,2025-01-01 21:39:31,C2331,P030,1,261.77,0.0,261.77,PayPal
T00008,2025-01-01 09:03:28,C1269,P015,3,22.07,0.0,66.21,Credit Card
T00009,2025-01-01 15:10:29,C3589,P064,1,11.32,0.15,9.62,PayPal
T00010,2025-01-01 08:18:35,C4620,P011,2,413.83,0.0,827.66,PayPal
T00011,2025-01-01 13:01:38,C0538,P068,2,193.06,0.15,328.2,Credit Card
T00012,2025-01-01 19:18:45,C0016,P007,2,233.2,0.0,466.4,Debit Card
T00013,2025-01-01 15:17:40,C1347,P017,1,24.84,0.0,24.84,Credit Card
T00014,2025-01-01 11:45:55,C1156,P012,1,323.48,0.0,323.48,PayPal
T00015,2025-01-01 11:53:55,C0841,P076,1,38.94,0.0,38.94,Credit Card
T00016,2025-01-01 12:53:49,C1280,P007,2,233.2,0.0,466.4,Credit Card
T00017,2025-01-01 11:36:00,C0230,P064,1,11.32,0.15,9.62,Credit Card
T00018,2025-01-01 14:37:19,C4266,P020,2,73.97,0.0,147.94,PayPal
T00019,2025-01-01 11:50:59,C3154,P064,1,11.32,0.15,9.62,Credit Card
T00020,2025-01-01 08:37:04,C1963,P007,1,233.2,0.0,233.2,PayPal
T00021,2025-01-01 13:25:00,C2921,P035,2,203.1,0.15,345.27,Credit Card
T00022,2025-01-01 09:14:15,C0063,P082,2,25.4,0.15,43.18,Credit Card
T00023,2025-01-01 14:40:21,C0090,P015,2,22.07,0.0,44.14,Credit Card
T00024,2025-01-01 13:04:42,C1211,P083,3,16.16,0.0,48.48,Debit Card
T00025,2025-01-01 12:05:01,C4621,P079,1,295.86,0.15,251.48,Credit Card
T00026,2025-01-01 17:53:35,C3767,P066,1,25.42,0.0,25.42,Credit Card
T00027,2025-01-01 21:34:44,C3764,P018,3,66.79,0.0,200.37,Credit Card
T00028,2025-01-01 14:46:15,C2143,P028,3,19.46,0.0,58.38,Credit Card
T00029,2025-01-01 12:41:34,C4436,P099,1,106.2,0.0,106.2,Credit Card
T00030,2025-01-01 15:15:04,C1955,P002,3,106.0,0.0,318.0,Credit Card
T00031,2025-01-01 18:50:28,C3601,P034,2,226.84,0.0,453.68,PayPal
T00032,2025-01-01 21:10:45,C3055,P066,1,25.42,0.0,25.42,Credit Card
T00033,2025-01-01 16:49:02,C3322,P051,2,83.85,0.0,167.7,Credit Card
T00034,2025-01-01 10:00:11,C1751,P034,1,226.84,0.0,226.84,Debit Card
T00035,2025-01-01 14:42:44,C2061,P003,1,65.81,0.15,55.94,Credit Card
T00036,2025-01-01 21:31:21,C1297,P099,1,106.2,0.0,106.2,Credit Card
T00037,2025-01-01 19:05:37,C2299,P057,1,191.35,0.0,191.35,Credit Card
T00038,2025-01-01 14:37:59,C0051,P087,1,25.35,0.0,25.35,Credit Card
T00039,2025-01-01 16:20:27,C4488,P015,3,22.07,0.0,66.21,Credit Card
T00040,2025-01-01 18:48:48,C4920,P068,1,193.06,0.15,164.1,Credit Card
T00041,2025-01-01 08:31:45,C0945,P076,1,38.94,0.0,38.94,Credit Card
T00042,2025-01-01 09:51:53,C1789,P059,4,97.38,0.0,389.52,Credit Card
T00043,2025-01-01 14:12:52,C0796,P064,3,11.32,0.15,28.87,Credit Card
T00044,2025-01-01 14:49:05,C2194,P065,1,10.26,0.0,10.26,PayPal
T00045,2025-01-01 10:59:08,C2272,P072,1,568.79,0.0,568.79,PayPal
T00046,2025-01-01 17:57:03,C3825,P071,1,405.93,0.0,405.93,PayPal
T00047,2025-01-01 12:29:27,C2621,P019,2,322.14,0.0,644.28,PayPal
T00048,2025-01-01 12:11:12,C2302,P011,2,413.83,0.0,827.66,Credit Card
T00049,2025-01-01 21:49:12,C2567,P071,1,405.93,0.0,405.93,PayPal
T00050,2025-01-01 11:54:26,C2271,P024,1,533.86,0.15,453.78,Credit Card
T00051,2025-01-01 19:17:36,C0203,P098,2,274.32,0.0,548.64,Credit Card
T00052,2025-01-01 12:20:54,C2652,P050,1,319.97,0.0,319.97,Credit Card
T00053,2025-01-01 17:13:54,C4281,P064,2,11.32,0.15,19.24,Credit Card
T00054,2025-01-01 19:28:46,C4931,P092,1,381.53,0.0,381.53,Cash
T00055,2025-01-01 18:29:39,C2882,P030,2,261.77,0.0,523.54,Cash
T00056,2025-01-01 18:48:02,C2313,P024,2,533.86,0.15,907.56,Cash
T00057,2025-01-01 08:31:38,C1998,P065,2,10.26,0.0,20.52,Debit Card
T00058,2025-01-01 12:01:09,C0316,P025,1,62.68,0.15,53.28,PayPal
T00059,2025-01-01 09:06:04,C0785,P030,1,261.77,0.0,261.77,Credit Card
T00060,2025-01-01 20:03:45,C3545,P007,3,233.2,0.0,699.6,Credit Card
T00061,2025-01-01 15:02:12,C4622,P035,1,203.1,0.15,172.64,Credit Card
T00062,2025-01-01 10:07:49,C0598,P071,1,405.93,0.0,405.93,Credit Card
T00063,2025-01-01 10:03:41,C4733,P098,1,274.32,0.0,274.32,Credit Card
T00064,2025-01-01 10:11:23,C2228,P007,2,233.2,0.0,466.4,PayPal
T00065,2025-01-01 13:18:54,C1507,P066,1,25.42,0.0,25.42,Credit Card
T00066,2025-01-01 11:34:17,C0753,P072,2,568.79,0.0,1137.58,PayPal
T00067,2025-01-01 15:55:33,C3858,P056,4,110.57,0.0,442.28,Credit Card
T00068,2025-01-01 16:59:06,C1508,P049,2,58.69,0.0,117.38,Credit Card
T00069,2025-01-01 18:37:18,C2469,P076,1,38.94,0.0,38.94,Debit Card
T00070,2025-01-01 10:44:19,C3901,P030,3,261.77,0.0,785.31,PayPal
T00071,2025-01-01 18:30:24,C4305,P090,1,273.3,0.0,273.3,Credit Card
T00072,2025-01-01 15:01:28,C0158,P024,4,533.86,0.15,1815.12,Debit Card
T00073,2025-01-01 12:30:46,C0986,P083,1,16.16,0.0,16.16,Debit Card
T00074,2025-01-01 17:05:45,C2255,P085,1,93.1,0.0,93.1,Cash
T00075,2025-01-01 12:32:08,C0231,P031,2,25.6,0.15,43.52,Credit Card
T00076,2025-01-01 17:59:21,C1370,P071,1,405.93,0.0,405.93,Debit Card
T00077,2025-01-01 12:10:53,C1719,P083,2,16.16,0.0,32.32,Credit Card
T00078,2025-01-01 10:40:11,C0608,P012,2,323.48,0.0,646.96,Credit Card
T00079,2025-01-01 11:37:15,C4889,P097,1,94.74,0.15,80.53,Credit Card
T00080,2025-01-01 20:37:12,C0844,P069,1,44.4,0.0,44.4,PayPal
T00081,2025-01-01 09:15:40,C0441,P069,1,44.4,0.0,44.4,PayPal
T00082,2025-01-01 09:41:43,C0624,P011,2,413.83,0.0,827.66,PayPal
T00083,2025-01-01 12:26:01,C2808,P015,2,22.07,0.0,44.14,Credit Card
T00084,2025-01-01 16:49:55,C2991,P007,3,233.2,0.0,699.6,Cash
T00085,2025-01-01 18:58:00,C2543,P097,1,94.74,0.15,80.53,Debit Card
T00086,2025-01-01 21:34:22,C4905,P065,1,10.26,0.0,10.26,PayPal
T00087,2025-01-01 18:21:26,C2011,P019,1,322.14,0.0,322.14,Credit Card
T00088,2025-01-01 09:24:33,C1570,P041,2,261.71,0.0,523.42,Debit Card
T00089,2025-01-01 13:48:26,C2492,P077,1,256.15,0.15,217.73,Debit Card
T00090,2025-01-01 10:20:38,C4867,P083,3,16.16,0.0,48.48,PayPal
T00091,2025-01-01 10:24:46,C0113,P003,2,65.81,0.15,111.88,PayPal
T00092,2025-01-01 11:56:14,C0076,P061,1,120.66,0.15,102.56,Credit Card
T00093,2025-01-01 10:10:27,C0906,P021,2,133.8,0.0,267.6,PayPal
T00094,2025-01-01 10:51:17,C1110,P076,1,38.94,0.0,38.94,Credit Card
T00095,2025-01-01 21:52:08,C0401,P034,1,226.84,0.0,226.84,Credit Card
T00096,2025-01-01 15:07:39,C0145,P015,1,22.07,0.0,22.07,PayPal
T00097,2025-01-01 15:13:37,C3691,P085,1,93.1,0.0,93.1,Credit Card
T00098,2025-01-01 20:12:38,C4202,P012,2,323.48,0.0,646.96,Credit Card
T00099,2025-01-01 18:46:09,C0033,P007,2,233.2,0.0,466.4,Debit Card
T00100,2025-01-01 19:29:04,C0718,P014,1,142.42,0.0,142.42,PayPal
T00101,2025-01-01 13:34:04,C0085,P079,1,295.86,0.15,251.48,Credit Card
T00102,2025-01-01 17:11:34,C2037,P076,3,38.94,0.0,116.82,Debit Card
T00103,2025-01-01 12:25:00,C2378,P062,1,126.29,0.0,126.29,PayPal
T00104,2025-01-01 08:09:37,C4880,P065,2,10.26,0.0,20.52,Debit Card
T00105,2025-01-01 15:51:30,C3769,P035,1,203.1,0.15,172.64,Credit Card
T00106,2025-01-01 20:46:22,C0994,P058,1,654.64,0.0,654.64,Credit Card
T00107,2025-01-01 12:01:52,C3645,P012,2,323.48,0.0,646.96,Credit Card
T00108,2025-01-01 19:01:29,C0953,P077,1,256.15,0.15,217.73,PayPal
T00109,2025-01-01 16:48:18,C0798,P030,3,261.77,0.0,785.31,Credit Card
T00110,2025-01-01 21:00:36,C4173,P007,2,233.2,0.0,466.4,Credit Card
T00111,2025-01-01 19:19:58,C2277,P096,3,22.83,0.0,68.49,Debit Card
T00112,2025-01-01 13:04:54,C2216,P076,4,38.94,0.0,155.76,Credit Card
T00113,2025-01-01 21:22:41,C1228,P011,1,413.83,0.0,413.83,Credit Card
T00114,2025-01-01 18:52:41,C2747,P014,1,142.42,0.0,142.42,PayPal
T00115,2025-01-01 08:08:49,C1739,P033,2,35.02,0.15,59.53,Credit Card
T00116,2025-01-01 14:50:25,C2909,P020,2,73.97,0.0,147.94,Credit Card
T00117,2025-01-01 13:15:52,C1404,P061,2,120.66,0.15,205.12,Credit Card
T00118,2025-01-01 13:41:36,C0373,P066,2,25.42,0.0,50.84,PayPal
T00119,2025-01-01 20:56:44,C3029,P030,2,261.77,0.0,523.54,Debit Card
T00120,2025-01-01 19:23:16,C3470,P079,1,295.86,0.15,251.48,Credit Card
T00121,2025-01-01 21:56:01,C3485,P065,2,10.26,0.0,20.52,Credit Card
T00122,2025-01-01 12:53:41,C1605,P076,1,38.94,0.0,38.94,Credit Card
T00123,2025-01-01 20:00:43,C0237,P070,1,347.66,0.0,347.66,Debit Card
T00124,2025-01-01 21:54:39,C0163,P052,2,29.02,0.0,58.04,Credit Card
T00125,2025-01-01 08:10:57,C0714,P097,1,94.74,0.15,80.53,Credit Card
T00126,2025-01-01 11:01:30,C3274,P007,2,233.2,0.0,466.4,Credit Card
T00127,2025-01-02 12:31:49,C1791,P030,2,261.77,0.0,523.54,Credit Card
T00128,2025-01-02 16:40:09,C3779,P021,2,133.8,0.0,267.6,Credit Card
T00129,2025-01-02 12:52:35,C2461,P016,3,54.73,0.15,139.56,Credit Card
T00130,2025-01-02 08:25:43,C2317,P061,3,120.66,0.15,307.68,Debit Card
T00131,2025-01-02 10:35:22,C3947,P065,1,10.26,0.0,10.26,PayPal
T00132,2025-01-02 21:38:58,C2563,P065,3,10.26,0.0,30.78,Debit Card
T00133,2025-01-02 14:22:42,C1177,P021,1,133.8,0.0,133.8,Credit Card
T00134,2025-01-02 11:24:19,C2058,P084,1,219.9,0.0,219.9,Credit Card
T00135,2025-01-02 19:37:32,C0435,P082,1,25.4,0.15,21.59,Credit Card
T00136,2025-01-02 08:37:00,C3518,P015,1,22.07,0.0,22.07,Credit Card
T00137,2025-01-02 08:37:23,C3054,P052,1,29.02,0.0,29.02,Debit Card
T00138,2025-01-02 16:30:37,C2885,P068,1,193.06,0.15,164.1,Credit Card
T00139,2025-01-02 08:27:22,C2435,P018,4,66.79,0.0,267.16,PayPal
T00140,2025-01-02 21:17:54,C1742,P012,1,323.48,0.0,323.48,Debit Card
T00141,2025-01-02 17:25:51,C0925,P076,1,38.94,0.0,38.94,Credit Card
T00142,2025-01-02 08:58:56,C1630,P025,2,62.68,0.15,106.56,PayPal
T00143,2025-01-02 20:15:32,C3560,P045,1,400.57,0.0,400.57,Credit Card
T00144,2025-01-02 14:45:46,C2837,P018,4,66.79,0.0,267.16,Credit Card
T00145,2025-01-02 13:22:25,C4272,P030,4,261.77,0.0,1047.08,Credit Card
T00146,2025-01-02 08:16:37,C3973,P026,1,158.06,0.0,158.06,Debit Card
T00147,2025-01-02 20:23:42,C1998,P091,1,264.84,0.0,264.84,Credit Card
T00148,2025-01-02 10:41:26,C1044,P051,2,83.85,0.0,167.7,Credit Card
T00149,2025-01-02 09:51:07,C0095,P037,1,104.73,0.0,104.73,Credit Card
T00150,2025-01-02 20:40:12,C3342,P075,1,116.93,0.0,116.93,Debit Card
T00151,2025-01-02 18:21:54,C0609,P011,2,413.83,0.0,827.66,Credit Card
T00152,2025-01-02 08:04:28,C4835,P064,1,11.32,0.15,9.62,Credit Card
T00153,2025-01-02 13:29:57,C3497,P031,1,25.6,0.15,21.76,Debit Card
T00154,2025-01-02 21:05:05,C2797,P091,1,264.84,0.0,264.84,Credit Card
T00155,2025-01-02 14:51:04,C0014,P013,1,67.71,0.0,67.71,Credit Card
T00156,2025-01-02 13:40:19,C2055,P088,2,300.3,0.15,510.51,PayPal
T00157,2025-01-02 11:38:29,C2938,P019,1,322.14,0.0,322.14,Debit Card
T00158,2025-01-02 08:59:58,C3666,P030,1,261.77,0.0,261.77,PayPal
T00159,2025-01-02 14:39:59,C2444,P098,2,274.32,0.0,548.64,PayPal
T00160,2025-01-02 09:51:12,C0629,P068,4,193.06,0.15,656.4,Credit Card
T00161,2025-01-02 21:35:41,C2303,P049,2,58.69,0.0,117.38,PayPal
T00162,2025-01-02 17:37:38,C0253,P069,2,44.4,0.0,88.8,PayPal
T00163,2025-01-02 14:03:18,C1314,P095,1,34.67,0.0,34.67,Debit Card
T00164,2025-01-02 11:40:57,C3890,P041,4,261.71,0.0,1046.84,Cash
T00165,2025-01-02 19:26:22,C0348,P051,2,83.85,0.0,167.7,Credit Card
T00166,2025-01-02 10:15:34,C2803,P011,1,413.83,0.0,413.83,Credit Card
T00167,2025-01-02 12:23:04,C3173,P006,2,75.19,0.0,150.38,Cash
T00168,2025-01-02 20:05:40,C4456,P025,4,62.68,0.15,213.11,Credit Card
T00169,2025-01-02 16:53:43,C4012,P002,2,106.0,0.0,212.0,PayPal
T00170,2025-01-02 12:28:55,C3216,P019,2,322.14,0.0,644.28,PayPal
T00171,2025-01-02 08:26:34,C0728,P021,2,133.8,0.0,267.6,Credit Card
T00172,2025-01-02 13:39:47,C2261,P058,1,654.64,0.0,654.64,PayPal
T00173,2025-01-02 13:45:09,C3430,P023,2,102.13,0.0,204.26,Credit Card
T00174,2025-01-02 13:35:43,C4257,P090,1,273.3,0.0,273.3,Debit Card
T00175,2025-01-02 14:06:28,C3126,P017,1,24.84,0.0,24.84,PayPal
T00176,2025-01-02 08:59:47,C0133,P064,1,11.32,0.15,9.62,PayPal
T00177,2025-01-02 10:46:56,C3462,P020,2,73.97,0.0,147.94,Credit Card
T00178,2025-01-02 20:37:12,C0434,P061,1,120.66,0.15,102.56,PayPal
T00179,2025-01-02 11:39:11,C2508,P064,1,11.32,0.15,9.62,PayPal
T00180,2025-01-02 14:45:15,C0220,P063,1,119.39,0.0,119.39,Debit Card
T00181,2025-01-02 17:13:15,C4068,P082,1,25.4,0.15,21.59,Credit Card
T00182,2025-01-02 13:35:51,C1266,P064,1,11.32,0.15,9.62,Credit Card
T00183,2025-01-02 15:50:26,C0563,P069,1,44.4,0.0,44.4,Credit Card
T00184,2025-01-02 16:39:35,C3906,P013,1,67.71,0.0,67.71,Credit Card
T00185,2025-01-02 19:28:30,C1022,P100,5,275.17,0.0,1375.85,PayPal
T00186,2025-01-02 10:12:03,C2609,P021,3,133.8,0.0,401.4,Credit Card
T00187,2025-01-02 18:47:14,C2004,P069,1,44.4,0.0,44.4,Credit Card
T00188,2025-01-02 19:01:14,C1137,P069,2,44.4,0.0,88.8,Credit Card
T00189,2025-01-02 13:46:12,C1182,P026,1,158.06,0.0,158.06,Credit Card
T00190,2025-01-02 10:50:43,C1470,P062,1,126.29,0.0,126.29,Cash
T00191,2025-01-02 19:48:55,C2265,P034,1,226.84,0.0,226.84,Credit Card
T00192,2025-01-02 15:56:12,C1082,P076,2,38.94,0.0,77.88,Credit Card
T00193,2025-01-02 18:11:15,C0747,P063,3,119.39,0.0,358.17,Credit Card
T00194,2025-01-02 12:42:51,C1777,P051,1,83.85,0.0,83.85,Credit Card
T00195,2025-01-02 16:50:19,C4519,P076,1,38.94,0.0,38.94,Debit Card
T00196,2025-01-02 15:12:33,C2482,P064,1,11.32,0.15,9.62,Credit Card
T00197,2025-01-02 10:44:26,C0718,P018,1,66.79,0.0,66.79,Credit Card
T00198,2025-01-02 20:18:42,C0366,P015,1,22.07,0.0,22.07,Cash
T00199,2025-01-02 15:26:01,C3366,P045,1,400.57,0.0,400.57,Debit Card
T00200,2025-01-02 15:38:00,C1612,P024,3,533.86,0.15,1361.34,Credit Card
T00201,2025-01-02 21:07:26,C3465,P006,1,75.19,0.0,75.19,PayPal
T00202,2025-01-02 08:30:29,C4871,P087,2,25.35,0.0,50.7,Credit Card
T00203,2025-01-02 16:48:52,C2510,P053,2,22.58,0.0,45.16,Cash
T00204,2025-01-02 15:35:37,C1358,P026,1,158.06,0.0,158.06,Credit Card
T00205,2025-01-02 08:30:34,C3458,P001,2,112.89,0.0,225.78,Debit Card
T00206,2025-01-02 19:20:33,C3727,P030,1,261.77,0.0,261.77,Credit Card
T00207,2025-01-02 08:08:28,C4458,P019,1,322.14,0.0,322.14,Credit Card
T00208,2025-01-02 15:18:46,C3658,P065,2,10.26,0.0,20.52,Credit Card
T00209,2025-01-02 13:23:05,C0257,P089,2,108.08,0.0,216.16,Debit Card
T00210,2025-01-02 15:02:30,C3565,P063,2,119.39,0.0,238.78,Credit Card
T00211,2025-01-02 19:51:07,C1177,P051,4,83.85,0.0,335.4,Cash
T00212,2025-01-02 18:25:58,C0865,P096,2,22.83,0.0,45.66,Credit Card
T00213,2025-01-02 17:14:12,C0796,P012,4,323.48,0.0,1293.92,PayPal
T00214,2025-01-02 15:21:57,C0041,P077,3,256.15,0.15,653.18,PayPal
T00215,2025-01-02 21:12:45,C0741,P015,1,22.07,0.0,22.07,Credit Card
T00216,2025-01-02 13:08:23,C3868,P011,3,413.83,0.0,1241.49,Debit Card
T00217,2025-01-02 10:22:11,C4453,P051,1,83.85,0.0,83.85,Credit Card
T00218,2025-01-02 16:43:57,C1585,P076,1,38.94,0.0,38.94,PayPal
T00219,2025-01-02 18:18:58,C2124,P007,4,233.2,0.0,932.8,Credit Card
T00220,2025-01-02 16:36:09,C0230,P020,1,73.97,0.0,73.97,Debit Card
T00221,2025-01-02 16:32:12,C2934,P068,1,193.06,0.15,164.1,Cash
T00222,2025-01-02 11:43:10,C0071,P061,3,120.66,0.15,307.68,Credit Card
T00223,2025-01-02 16:28:46,C2348,P040,1,260.65,0.15,221.55,Credit Card
T00224,2025-01-02 20:59:12,C0982,P029,2,110.8,0.0,221.6,PayPal
T00225,2025-01-02 19:43:13,C2614,P095,3,34.67,0.0,104.01,Debit Card
T00226,2025-01-02 16:53:41,C4900,P071,2,405.93,0.0,811.86,Credit Card
T00227,2025-01-02 13:18:41,C1068,P003,2,65.81,0.15,111.88,Cash
T00228,2025-01-02 12:07:17,C0331,P026,1,158.06,0.0,158.06,PayPal
T00229,2025-01-02 09:35:08,C1625,P098,1,274.32,0.0,274.32,Credit Card
T00230,2025-01-02 12:50:14,C0256,P056,3,110.57,0.0,331.71,Debit Card
T00231,2025-01-02 15:46:43,C0816,P017,3,24.84,0.0,74.52,PayPal
T00232,2025-01-02 18:38:24,C0223,P091,4,264.84,0.0,1059.36,Cash
T00233,2025-01-02 17:21:49,C3385,P043,1,101.88,0.15,86.6,Credit Card
T00234,2025-01-02 08:04:59,C1945,P034,1,226.84,0.0,226.84,PayPal
T00235,2025-01-02 14:06:17,C2582,P026,1,158.06,0.0,158.06,Credit Card
